"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Catalog Price Rules based on ""%s"" attribute have been disabled."
"Actions","Actions"
"Active","Active"
"Add New Rule","Add New Rule"
"An error occurred while deleting the rule. Please review the log and try again.","An error occurred while deleting the rule. Please review the log and try again."
"An error occurred while saving the rule data. Please review the log and try again.","An error occurred while saving the rule data. Please review the log and try again."
"Apply Rules","Apply Rules"
"Attribute Set","تنظیم مشخصه"
"Catalog","Catalog"
"Catalog Price Rule","Catalog Price Rule"
"Catalog Price Rules","Catalog Price Rules"
"Category","دسته بندی"
"Conditions","Conditions"
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"Conditions Combination","ترکیب شرایط"
"Customer Groups","Customer Groups"
"Customer Registered: %s","مشتری ثبت نام شد: %s"
"Customer is a New Buyer: %s","مشتری خریدار جدید است: %s"
"Date Expire","Date Expire"
"Date From","Date From"
"Date Start","Date Start"
"Date To","Date To"
"Delete Rule","Delete Rule"
"Description","توضیحات"
"Description: %s","توضیح: %s"
"Edit Rule","Edit Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"Expire at: %s","تاریخ انقضا: %s"
"From Date","From Date"
"General Information","General Information"
"ID","ID"
"Inactive","Inactive"
"NOT LOGGED IN","NOT LOGGED IN"
"Name: %s","نام: %s"
"New Rule","New Rule"
"No","خیر"
"Options","Options"
"Priority","Priority"
"Product Attribute","مشخصه محصول"
"Promotions","Promotions"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Save Rule","Save Rule"
"Save and Apply","Save and Apply"
"Save and Continue Edit","Save and Continue Edit"
"Start at: %s","تاریخ شروع: %s"
"Status","وضعیت"
"Stop Further Rules Processing","Stop Further Rules Processing"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"The rules have been applied.","The rules have been applied."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog."
"This rule no longer exists.","This rule no longer exists."
"To Date","To Date"
"Unable to apply rules.","Unable to apply rules."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update product's %s %s: %s","Update product's %s %s: %s"
"Websites","Websites"
"Wrong rule specified.","Wrong rule specified."
"Yes","Yes"
