"-- Please select --","-- لطفا انتخاب کنید --"
"Allowed Currencies","ارزهای مجاز"
"Base Currency","ارز پایه"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"Can\'t convert rate from ""%s-%s"".","Can\'t convert rate from ""%s-%s""."
"Cannot retrieve rate from %s.","نمی توان نسبت را از %s بازیابی کرد"
"Connection Timeout in Seconds","مهلت اتصال در ثانیه"
"Continue &raquo;","ادامه &raquo;"
"Country","کشور"
"Country API","Country API"
"Country and Format Type combination should be unique","ترکیب کشور و نوع فرمت باید منحصر به فرد باشد"
"Currency","ارز"
"Currency Options","انتخاب ارز"
"Currency Setup","راه اندازی ارز"
"Currency Update Warnings","اخطارهای بروزرسانی ارز"
"Default Display Currency","ارز پیش گزیده"
"Directory","فهرست"
"Display not required State","Display not required State"
"Enabled","فعال"
"Error Email Recipient","خطای دریافت کننده ایمیل"
"Error Email Sender","خطای فرستنده ایمیل"
"Error Email Template","خطای قالب ایمیل"
"FATAL ERROR:","خطای بزرگ:"
"Frequency","تناوب"
"Installed Currencies","ارزهای نصب شده"
"Invalid Import Service specified.","Invalid Import Service specified."
"Invalid country code: %s","کد کشور اشتباه است: %s"
"Invalid rates received","دریافت امتیازات نامعتبر"
"Invalid target currency.","ارز مقصد نامعتبر"
"List of countries","فهرست کشورها"
"List of regions in specified country","فهرست مناطق کشور انتخاب شده"
"Postal Code is Optional for the following countries","Postal Code is Optional for the following countries"
"Region","منطقه"
"Region API","Region API"
"Scheduled Import Settings","تنظیمات ورود برنامه ریزی شده"
"Select Your Currency","ارز خود را انتخاب کنید"
"Service","خدمات"
"Start Time","زمان شروع"
"State is required for","State is required for"
"State/Province","استان"
"States Options","States Options"
"Unable to initialize the import model.","Unable to initialize the import model."
"Undefined rate from ""%s-%s"".","نسبت نامشخص از ""%s-%s""."
"WARNING:","اخطار:"
"Webservicex","Webservicex"
"Your current currency is: %s","ارز شما در حال حاضر: %s"
