"Actions","Actions"
"Add Answer","اضافه کردن پاسخ"
"Add New Answer","اضافه کردن پاسخ جدید"
"Add New Poll","اضافه کردن نظرخواهی جدید"
"Answer Title","عنوان پاسخ"
"Answer Title:","عنوان پاسخ:"
"Answer with the same title in this poll","جواب دادن با عنوان مشابه در این نظرسنجی"
"Are you sure you want to delete it?","آیا اطمینان دارید می خواهید این را حذف کنید؟"
"Assigned Answers","پاسخ های تعیین شده"
"Closed","بسته شده"
"Community Poll","نظرسنجی انجمن"
"Date Closed","تاریخ پایان"
"Date Posted","تاریخ پست"
"Delete","حذف"
"Delete Answer","حذف پاسخ"
"Delete Poll","حذف نظرخواهی"
"Disallow Voting in a Poll Multiple Times from Same IP-address","نپذیرفتن چندین بار رای دادن به یک نظرخواهی از آدرس IP مشابه"
"Edit Answer '%s'","ویرایش پاسخ '%s'"
"Edit Poll '%s'","ویرایش نظرخواهی '%s'"
"Edit Poll Answer","ویرایش پاسخ نظرخواهی"
"ID","شناسه"
"Invalid Answer.","پاسخ نامعتبر"
"New Poll","نظرخواهی جدید"
"Number of Responses","تعداد پاسخ ها"
"Open","باز"
"Poll Answers","پاسخ های نظرخواهی"
"Poll Information","اطلاعات نظرخواهی"
"Poll Manager","مدیر نظرخواهی"
"Poll Question","سوال نظرخواهی"
"Poll information","اطلاعات نظرخواهی"
"Poll with the same question","نظرسنجی با سوال مشابه"
"Polls","Polls"
"Save Answer","ذخیره پاسخ"
"Save Poll","ذخیره نظرخواهی"
"Status","وضعیت"
"The answer has been saved.","The answer has been saved."
"The poll does not exist.","The poll does not exist."
"Unable to find an answer to delete.","قادر به پیدا کردن پاسخ برای حذف کردن نیستم."
"Visible In","قابل مشاهده در"
"Vote","رای دادن"
"Votes Count","تعداد نظرها"
"Votes Count:","Votes Count:"
