"1 star","1 ستاره"
"2 stars","2 ستاره"
"3 stars","3 ستاره"
"4 stars","4 ستاره"
"5 stars","5 ستاره"
"Add New Rating","Add New Rating"
"Assigned Options","Assigned Options"
"Be the first to review this product","اولین نفر باشید که این محصول را مشاهده می کند"
"Default Value","Default Value"
"Delete Rating","Delete Rating"
"Edit Rating","Edit Rating"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","If you do not specify a rating title for a store, the default value will be used."
"Manage Ratings","Manage Ratings"
"New Rating","New Rating"
"Option Label","Option Label"
"Option Title","Option Title"
"Option Title:","Option Title:"
"Please select one of each ratings above","Please select one of each ratings above"
"Rating Information","Rating Information"
"Rating Name","Rating Name"
"Rating Options","Rating Options"
"Rating Title","Rating Title"
"Rating Visibility","Rating Visibility"
"Rating isn't Available","Rating isn't Available"
"Rating with the same title","امتیاز دهی با عنوان مشابه"
"Save Rating","Save Rating"
"Visible In","Visible In"
