"%d Review(s)","%d نظر"
"%s Review(s)","%s Review(s)"
"(Posted on %s)","(ارسال شده در %s)"
"1 star","1 ستاره"
"2 stars","2 ستاره"
"3 stars","3 ستاره"
"4 stars","4 ستاره"
"5 stars","5 ستاره"
"Add New Review","Add New Review"
"Add Your Review","نظر خود را اضافه کنید"
"Administrator","Administrator"
"All Reviews","All Reviews"
"All Reviews of Customer `%s`","All Reviews of Customer `%s`"
"Allow Guests to Write Reviews","Allow Guests to Write Reviews"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure?","Are you sure?"
"Average Customer Rating","میانگین امتیازدهی مشتریان"
"Average Customer Rating:","میانگین امتیازدهی مشتریان:"
"Back","قبلی"
"Back to Main Product Info","بازگشت به اطلاعات اصلی محصول"
"Back to My Reviews","بازگشت به نظرات من"
"Back to Product Reviews","بازگشت به نظرات محصول"
"Be the first to review this product","نخستین نقد را بر این محصول بنویسید."
"Catalog Product Review View","Catalog Product Review View"
"Catalog Product Review View","Catalog Product Review View"
"Catalog Product Reviews List","Catalog Product Reviews List"
"Created On","Created On"
"Customer","Customer"
"Customer My Account Product Reviews","Customer My Account Product Reviews"
"Customer My Account Review Details","Customer My Account Review Details"
"Customer Reviews","نظرات مشتریان"
"Delete","Delete"
"Delete Review","Delete Review"
"Detailed Rating","Detailed Rating"
"Edit Review '%s'","Edit Review '%s'"
"Guest","Guest"
"How do you rate this product?","شما این محصول را چگونه ارزیابی می کنید؟"
"ID","ID"
"Manage Ratings","Manage Ratings"
"My Product Reviews","نقدهای من بر محصولات"
"My Recent Reviews","نظرات اخیر من"
"Name","نام"
"Name In Store","Name In Store"
"New Review","New Review"
"Nickname","نام مستعار"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>"
"Pending Reviews","Pending Reviews"
"Pending Reviews of Customer `%s`","Pending Reviews of Customer `%s`"
"Please select a product","Please select a product"
"Please select one of each of the ratings above","لطفاً یکی از امتیازات بالا را انتخاب کنید"
"Posted By","Posted By"
"Price","قیمت"
"Product","محصول"
"Product Name","نام محصول"
"Product Rating","Product Rating"
"Product Rating:","امتیاز محصول:"
"Product Review (submitted on %s):","<strong>نظر محصول</strong> (تایید شده در %s):"
"Product Reviews","نظر دیگران"
"Product SKU","Product SKU"
"Qty","تعداد"
"Rating:","امتیاز:"
"Review","نظر"
"Review (submitted on %s):","Review (submitted on %s):"
"Review Details","جزئیات نظر"
"Review Form Fields Before","Review Form Fields Before"
"Review by <span>%s</span>","نظر توسط <span>%s</span>"
"Reviews and Ratings","Reviews and Ratings"
"SKU","SKU"
"Save Review","Save Review"
"Status","وضعیت"
"Submit Review","تایید نظر"
"Summary Rating","Summary Rating"
"Summary of Review","Summary of Review"
"Summary of Your Review","خلاصه نظر شما"
"Title","عنوان"
"Type","Type"
"Unable to post the review.","Unable to post the review."
"Update Status","Update Status"
"View All Reviews","نمایش تمام نظرات"
"View Details","نمایش جزئیات"
"Visible In","Visible In"
"Websites","Websites"
"Write Your Own Review","نظر خود را بنویسید"
"You have submitted no reviews.","شما هیچ نقدی ارسال نکرده‌اید."
"You're reviewing:","نظر شما درباره:"
"Your Rating:","امتیاز شما:"
"Your Review (submitted on %s):","نظر شما (تایید شده در %s):"
"Your review has been accepted for moderation.","نظر ارسالی شما تایید شد"
