"ALL","همه"
"ANY","هرچه"
"Add","Add"
"Apply","Apply"
"Conditions Combination","Conditions Combination"
"Description: %s","توضیح: %s"
"End Date should be greater than Start Date","End Date should be greater than Start Date"
"Expire at: %s","تاریخ انقضاء: %s"
"FALSE","غلط"
"If %s of these conditions are %s:","اگر s% از این شرایط s% است:"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","نام: %s"
"Open Chooser","Open Chooser"
"Perform following actions","Perform following actions"
"Please choose a condition to add...","لطفاً یکی از شرایط را برای اضافه شدن انتخاب کنید..."
"Please choose an action to add...","Please choose an action to add..."
"Remove","حذف"
"Start at: %s","تاریخ شروع: %s"
"TRUE","صحیح"
"by","بوسیله"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","هست"
"is not","نیست"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"to","به"
