"Add Recipient","اضافه کردن گیرنده"
"Allow for Guests","Allow for Guests"
"An invalid email address for recipient was entered.","An invalid email address for recipient was entered."
"At least one recipient must be specified.","At least one recipient must be specified."
"Back","بازگشت"
"Catalog Product Email to a Friend","Catalog Product Email to a Friend"
"Email Address","آدرس ایمیل"
"Email Address:","آدرس ایمیل:"
"Email Templates","Email Templates"
"Email to a Friend","ارسال از طریق ایمیل به دوستان"
"Email:","ایمیل:"
"Enabled","Enabled"
"Invalid Sender Information","Invalid Sender Information"
"Invalid sender email.","Invalid sender email."
"Limit Sending By","Limit Sending By"
"Max Products Sent in 1 Hour","Max Products Sent in 1 Hour"
"Max Recipients","Max Recipients"
"Maximum %d email addresses allowed.","Maximum %d email addresses allowed."
"Message:","پیام:"
"Name","نام"
"Name:","نام:"
"No more than %d emails can be sent at a time.","No more than %d emails can be sent at a time."
"Please define a correct Cookie instance.","Please define a correct Cookie instance."
"Please define a correct Product instance.","Please define a correct Product instance."
"Please define the correct Sender information.","Please define the correct Sender information."
"Recipient:","گیرنده:"
"Remove Email","Remove Email"
"Select Email Template","Select Email Template"
"Send Email","ارسال ایمیل"
"Send product to a friend","Send product to a friend"
"Sender:","فرستنده:"
"Some emails were not sent.","Some emails were not sent."
"The link to a friend was sent.","The link to a friend was sent."
"The message cannot be empty.","The message cannot be empty."
"The messages cannot be sent more than %d times in an hour","شما نمی توانید در یک ساعت بیشتر از %d پیام ارسال کنید."
"The sender name cannot be empty.","The sender name cannot be empty."
"There were some problems with the data.","There were some problems with the data."
"You have exceeded limit of %d sends in an hour","You have exceeded limit of %d sends in an hour"
