"# of Uses","# of Uses"
"%s tag(s) have been accepted for moderation.","%s tag(s) have been accepted for moderation."
"<strong>Tag Name:</strong> %s","<strong>Tag Name:</strong> %s"
"Action","Action"
"Add New Tag","Add New Tag"
"Add Tags","برچسب بزن"
"Add Your Tags:","برچسب‌های خود را بیافزایید:"
"Add to Cart","اضافه کردن به سبد"
"Add to Wishlist","اضافه کردن به Wishlist"
"All Tags","تمام برچسب ها"
"Approved","Approved"
"Are you sure you want to delete this tag?","آیا شما مطمئنید که می خواهید این بر چسب را حذف کنید؟"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure?","Are you sure?"
"Back","قبلی"
"Back to Tags List","Back to Tags List"
"Base Popularity","Base Popularity"
"Block Information","Block Information"
"CSV","CSV"
"Catalog Product View","Catalog Product View"
"Change status","Change status"
"Click on a tag to view your corresponding products.","برای نمایش محصولات مرتبط بر روی برچسب کلیک کنید."
"Country","کشور"
"Customer My Account My Tags List","Customer My Account My Tags List"
"Customer My Account Tag View","Customer My Account Tag View"
"Customer Since","Customer Since"
"Customers","Customers"
"Customers Submitted this Tag","Customers Submitted this Tag"
"Customers Tagged '%s'","Customers Tagged '%s'"
"Delete","Delete"
"Delete Tag","حذف برچسب"
"Disabled","Disabled"
"Edit Tag '%s'","Edit Tag '%s'"
"Email","پست الکترونیکی"
"First Name","نام"
"General Information","General Information"
"Grid","مشبک"
"ID","ID"
"Last Name","نام خانوادگی"
"List","فهرست"
"Manage Tags","Manage Tags"
"My Recent Tags","برچسب های اخیر من"
"My Tags","برچسب‌های من"
"Name","نام"
"New Tag","New Tag"
"No matches found.","مورد منطبقی پیدا نشد."
"Other people marked this product with these tags:","دیگران این محصول را با این برچسب ها مشخص کرده اند:"
"Pending","در حال انتظار"
"Pending Tags","Pending Tags"
"Popular","Popular"
"Popular Tags","برچسب های محبوب"
"Price","قیمت"
"Product Name","نام محصول"
"Product SKU","Product SKU"
"Product Tags","برچسب‌های محصول"
"Products","Products"
"Products Tagged by Administrators","Products Tagged by Administrators"
"Products Tagged by Customers","Products Tagged by Customers"
"Products Tagged with '%s'","Products Tagged with '%s'"
"Products tagged with '%s'","محصولات برچسب زده شده با '%s'"
"Rebuild Tag aggregation data","Rebuild Tag aggregation data"
"SKU","SKU"
"Save Tag","ذخیره برچسب"
"Save and Continue Edit","Save and Continue Edit"
"Status","وضعیت"
"Store View","Store View"
"Tag","برچسب"
"Tag ""%s"" has already been added to the product.","Tag ""%s"" has already been added to the product."
"Tag ""%s"" has been added to the product.","Tag ""%s"" has been added to the product."
"Tag ""%s"" has been rejected by administrator.","Tag ""%s"" has been rejected by administrator."
"Tag Aggregation Data","Tag Aggregation Data"
"Tag Name","Tag Name"
"Tagged Products List","Tagged Products List"
"Tags","Tags"
"Tags List (All Available)","Tags List (All Available)"
"Tags List Before","Tags List Before"
"Tags:","برچسب ها:"
"Telephone","تلفن"
"The tag has been deleted.","The tag has been deleted."
"There are no tags available.","There are no tags available."
"Unable to find any products tagged with '%s' in the current store","Unable to find any products tagged with '%s' in the current store"
"Unable to remove tag. Please, try again later.","امکان حذف برچسب مورد نظر شما وجود ندارد. لطفاً، بعداً دوباره امتحان کنید."
"Unable to save tag(s).",".امکان ذخیره برچسب وجود ندارد"
"Use spaces to separate tags. Use single quotes (') for phrases.","از فاصله برای جداسازی برچسب‌های استفاده کنید. برای عبارات نیز از نقل قول تکی (') استفاده کنید."
"View All Tags","نمایش تمام برچسب ها"
"View Customers","View Customers"
"View Products","View Products"
"XML","XML"
"You have not tagged any products yet.","شما هنوز هیچ محصولی را برچسب نزده‌اید."
"ZIP/Post Code","ZIP/Post Code"
