"%s","%s"
"-- Please Select --","-- Please Select --"
"Actions","Actions"
"Add Layout Update","Add Layout Update"
"Add New Widget Instance","Add New Widget Instance"
"All","All"
"All Pages","All Pages"
"All Product Types","All Product Types"
"Anchor Categories","Anchor Categories"
"Apply","Apply"
"Assign to Store Views","Assign to Store Views"
"Big Image","Big Image"
"Block Reference","Block Reference"
"CMS","CMS"
"Categories","دسته بندی ها"
"Choose...","Choose..."
"Close","بستن"
"Continue","ادامه دادن"
"Default Template","Default Template"
"Delete","Delete"
"Design Package/Theme","Design Package/Theme"
"Export to:","Export to:"
"Frontend Properties","Frontend Properties"
"Generic Pages","Generic Pages"
"Images","تصاویر"
"Insert Widget","Insert Widget"
"Insert Widget...","Insert Widget..."
"Layout Updates","Layout Updates"
"Manage Widget Instances","Manage Widget Instances"
"New Instance","New Instance"
"New Widget Instance","New Widget Instance"
"Next page","Next page"
"Non-Anchor Categories","Non-Anchor Categories"
"Not Selected","Not Selected"
"Open Chooser","Open Chooser"
"Page","صفحه"
"Please Select Block Reference First","Please Select Block Reference First"
"Previous page","Previous page"
"Products","Products"
"Remove Layout Update","Remove Layout Update"
"Save and Continue Edit","Save and Continue Edit"
"Select All","انتخاب همه"
"Select Visible","انتخاب موارد قابل مشاهده"
"Settings","Settings"
"Sort Order","Sort Order"
"Sort Order of widget instances in the same block reference","Sort Order of widget instances in the same block reference"
"Specific %s","Specific %s"
"Specified Page","Specified Page"
"Template","Template"
"The information in this tab has been changed.","The information in this tab has been changed."
"The widget instance has been deleted.","The widget instance has been deleted."
"The widget instance has been saved.","The widget instance has been saved."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
"Thumbnail","Thumbnail"
"Total %d records found","درکل %d رکورد پیدا شد"
"Type","Type"
"Undefined Design Package or Theme.","Undefined Design Package or Theme."
"Unselect All","عدم انتخاب همه"
"Unselect Visible","عدم انتخاب موارد قابل مشاهده"
"View","نمایش"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Insertion","Widget Insertion"
"Widget Instance","Widget Instance"
"Widget Instance Title","Widget Instance Title"
"Widget Options","Widget Options"
"Widget Type","Widget Type"
"Widget Type is not specified","Widget Type is not specified"
"Widget instance is not full complete to create.","Widget instance is not full complete to create."
"Widgets","ویجت ها"
"Wrong widget instance specified.","Wrong widget instance specified."
"items selected","مورد های انتخاب شده"
"of %s pages","از %s صفحه"
"per page","در هر صفحه"
