"Mellat Payment Gatway","بانک پاسارگاد"
"You will be redirected to Paypaad gatway payment when you place an order.","بعد از اتمام سفارش به سامانه پرداخت امن پاسارگاد منتقل می شوید."
"You will be redirected to Pasargad Bank in a few seconds.","شما به سامانه پرداخت امن پاسارگاد منتقل می شوید."
"Could not connect to bank or service.","سیستم قادر به برقراری ارتباط با بانک نمی باشد."
"Yours order track number is %s","شماره پیگیری سفارش شما %s"
"Transaction has been completed successfuly.","تراكنش با موفقیت انجام شد."
"The card number is invalid.","شماره كارت نامعتبر است."
"Cash is not enough.","موجودی كافی نیست."
"The password is incorrent.","رمز نادرست است."
"The nummber of entering the password is excessive.","تعداد دفعات وارد كردن رمز بیش از حد مجاز است."
"The card is invalid.","كارت نامعتبر است."
"The number of withdrawal is excessive.","دفعات برداشت وجه بیش از حد مجاز است."
"Users are discouraged from doing transactions.","كاربر از انجام تراكنش منصرف شده است."
"Card expiry date has passed.","تاریخ انقضای كارت گذشته است."
"Withdrawal amount is excessive.","مبلغ برداشت وجه بیش از حد مجاز است."
"Card issued is invalid.","صادر كننده كارت نامعتبر است."
"Issued card switching error.","خطای سویچ صادر كننده كارت."
"No response was received from the card issued.","پاسخی از صادر كننده كارت دریافت نشد."
"Card holder is not allowed to perform this transaction.","دارنده كارت مجاز به انجام این تراكنش نیست."
"The accepter is invalid.","پذیرنده نامعتبر است."
"Security error has been occurred.","خطای امنیتی رخ داده است."
"The accepter user account information is invalid.","اطلاعات كاربری پذیرنده نامعتبر است."
"The amount is invalid.","مبلغ نامعتبر است."
"Response is invalid.","پاسخ نامعتبر است."
"The format of entered information is not correct.","فرمت اطلاعات وارد شده صحیح نمی باشد."
"The account is invalid.","حساب نامعتبر است."
"System error","خطای سیستمی"
"The date is invalid.","تاریخ نامعتبر است."
"The Request number is repetitive.","شماره درخواست تكراری است."
"Sale transaction did not find.","یافت نشد Sale تراكنش."
"Verfiy has been requested already.","داده شده است Verify قبلا درخواست."
"Verfiy request did not find.","یافت نشد Verfiy درخواست."
"Transaction is settled.","شده است Settle تراكنش."
"Transaction is not settled.","نشده است Settle تراكنش."
"Settle transaction did not find.","یافت نشد Settle تراكنش."
"Transaction is reversed.","شده است Reverse تراكنش."
"Refund transaction did not find.","یافت نشد Refund تراكنش."
"Bill ID is incorrect.","شناسه قبض نادرست است."
"Payment ID is incorrect.","شناسه پرداخت نادرست است."
"The organization of bill issued is invalid.","سازمان صادر كننده قبض نامعتبر است."
"The time of the session has been ended.","زمان جلسه كاری به پایان رسیده است."
"Error in information registration","خطا در ثبت اطلاعات"
"Payer ID is invalid.","شناسه پرداخت كننده نامعتبر است."
"Problem in defining the customer information.","اشكال در تعریف اطلاعات مشتری."
"The Number of data entry is exceed the last time.","تعداد دفعات ورود اطلاعات از حد مجاز گذشته است."
"IP is invalid.","نامعتبر است IP."
"The transaction is repetitive.","تراكنش تكراری است."
"The reference transaction is not available.","تراكنش مرجع موجود نیست."
"The transaction is invalid.","تراكنش نامعتبر است."
"Deposit Error","خطا در واریز"
"New problem occured.","خطای جدید رخ داده است."
"Due to the error the the cash has been reserved.","به علت بروز خطا ملبغ واریزی برگشت داده شده است."










